|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 778|2|0.146|100|14.816|2149.739062976162|95.0428072442724
Generation 779|2|0.14|100|15.576|2149.739062976162|99.72597213483043
Generation 780|2|0.126|100|14.96|2149.739062976162|80.72450478433502
Generation 781|2|0.132|100|15.136|2149.739062976162|88.43715343988838
Generation 782|2|0.11|100|15.228|2149.739062976162|73.04066456374368
Generation 783|2|0.146|100|14.698|2149.739062976162|92.6409314356416
Generation 784|2|0.146|100|14.978|2149.739062976162|97.50116869063127
Generation 785|2|0.154|100|14.786|2149.739062976162|105.83003302439171
Generation 786|2|0.128|100|15.188|2149.739062976162|88.78483627786085
Generation 787|1|0.102|100|14.7|511.42505421866946|66.27007030709576
Generation 788|2|0.126|100|14.894|2149.739062976162|80.6256988320652
Generation 789|2|0.148|100|15.084|2149.739062976162|94.02959254075265
Generation 790|2|0.138|100|15.106|2149.739062976162|86.8243410072338
Generation 791|2|0.15|100|14.84|2149.739062976162|94.76769797626912
Generation 792|2|0.134|18|14.764|2149.739062976162|84.48192675623353
Generation 793|2|0.138|100|15.364|2149.739062976162|91.66909001151423
Generation 794|3|0.132|100|15.392|5024.719635813122|91.17026830365792
Generation 795|2|0.132|100|14.914|2149.8377997990897|95.08214212868111
Generation 796|2|0.162|100|15.08|2149.8377997990897|105.5517732941391
Generation 797|2|0.14|100|14.86|2149.739062976162|87.57945446032532
Generation 798|2|0.144|18|14.712|2149.739062976162|96.27530390408789
Generation 799|2|0.164|19|14.438|2149.739062976162|110.46697970105548
Generation 800|3|0.13|15|14.594|5030.559363316634|91.71204743382002
Generation 801|2|0.132|100|14.866|2149.739062976162|92.75574481900122
Generation 802|2|0.13|100|14.854|2149.739062976162|84.89934740698769
Generation 803|2|0.128|100|14.906|2149.739062976162|86.24269341574293
Generation 804|2|0.146|100|15.346|2149.739062976162|97.86048725379689
Generation 805|2|0.152|100|15.218|2149.739062976162|100.73227876234837
Generation 806|2|0.158|100|14.88|2149.739062976162|103.36608883076035
Generation 807|3|0.112|19|14.782|5024.719635813122|85.20573596628887
Generation 808|2|0.12|100|15.052|2149.739062976162|77.843954459023
Generation 809|2|0.136|100|15.192|2149.964098556101|88.20068995080477
Generation 810|2|0.146|100|14.96|2149.739062976162|102.08654328651083
Generation 811|2|0.13|100|14.914|2149.739062976162|87.2311513908145
Generation 812|2|0.128|15|14.758|2149.739062976162|83.78634678345838
Generation 813|2|0.164|19|14.776|2149.739062976162|103.94703654527204
Generation 814|3|0.152|100|15.324|5024.719635813122|107.85332360065406
Generation 815|2|0.124|100|14.986|2149.739062976162|84.30994767059869
Generation 816|2|0.146|100|15.062|2149.739062976162|97.60381038786852
Generation 817|2|0.164|15|14.796|2149.739062976162|101.66798077837235
Generation 818|2|0.13|100|14.858|2149.739062976162|87.14405172710453
Generation 819|2|0.15|15|14.524|2149.739062976162|99.02886890750594
Generation 820|2|0.098|19|14.4|2149.739062976162|68.54191269857303
Generation 821|2|0.142|100|14.516|2149.739062976162|92.76888300813818
Generation 822|2|0.13|100|14.846|2149.739062976162|87.14706597645167
Generation 823|2|0.16|100|14.816|2149.986294709256|104.32779330670056
Generation 824|2|0.154|15|14.394|2149.986294709256|105.4780156751057
Generation 825|2|0.134|100|14.516|2149.8377997990897|88.80096366697221
Generation 826|2|0.138|100|14.46|2149.986294709256|88.469603287275
Generation 827|2|0.14|15|14.508|2149.739062976162|94.08170210757953
Generation 828|2|0.176|15|14.516|2149.739062976162|111.90573851513261
Generation 829|3|0.174|15|14.45|5024.719635813122|120.19449669390174
Generation 830|2|0.1|15|14.592|2149.739062976162|67.47114416132068
Generation 831|2|0.124|15|14.542|2149.739062976162|90.74871181301968
Generation 832|2|0.114|15|14.542|2149.739062976162|76.60992211516908
Generation 833|2|0.13|19|14.494|2149.739062976162|86.79897480097338
Generation 834|2|0.136|15|14.518|2149.8377997990897|94.36927841808655
Generation 835|2|0.13|15|14.502|2149.739062976162|91.37462179460698
Generation 836|2|0.132|19|14.552|2149.739062976162|90.16189363084749
Generation 837|2|0.148|15|14.444|2149.739062976162|97.96738783236896
Generation 838|2|0.144|15|14.454|2149.8377997990897|100.57550056356835
Generation 839|2|0.148|19|14.474|2149.739062976162|93.43978357830865
Generation 840|3|0.132|19|14.52|5024.719635813122|92.56890859850373
Generation 841|2|0.154|16|14.434|2149.739062976162|103.2511506387912
Generation 842|2|0.158|15|14.688|2149.964098556101|103.1524129320381
Generation 843|2|0.126|17|14.66|2149.739062976162|80.42169212166652
Generation 844|2|0.112|100|14.51|2149.739062976162|75.63102050002196
Generation 845|2|0.13|19|14.462|2149.739062976162|84.4928847278806
Generation 846|2|0.142|15|14.526|2149.913226044195|99.65471111509177
Generation 847|2|0.144|15|14.472|2149.739062976162|105.14433607935989
