|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 1028|2|0.148|33|15.552|2149.9540739565236|107.75965462096218
Generation 1029|2|0.154|33|15.7|2148.71142795583|115.29068400210627
Generation 1030|2|0.168|33|15.698|2149.9540739565236|117.64522988278642
Generation 1031|2|0.126|33|15.692|2149.475941242983|90.04981532537704
Generation 1032|2|0.162|33|15.612|2149.964098556101|130.6632268944092
Generation 1033|2|0.124|33|15.742|2148.9304694062257|91.3538516122089
Generation 1034|3|0.136|34|15.556|5019.2877281163765|113.40044818472745
Generation 1035|3|0.146|33|15.588|5020.270752177687|109.26048558247378
Generation 1036|3|0.124|33|15.802|5019.2877281163765|91.63384917531273
Generation 1037|3|0.176|33|16.092|5023.038198361497|135.6822289169092
Generation 1038|3|0.16|33|15.774|5008.019294011269|120.79595961756631
Generation 1039|2|0.188|33|16.0|2149.6181160598485|143.59608707247156
Generation 1040|2|0.122|33|15.554|2148.2212709145742|81.20754039701589
Generation 1041|2|0.11|39|15.344|2149.9540739565236|81.97400283586391
Generation 1042|2|0.132|33|15.476|2149.9540739565236|97.49451175675686
Generation 1043|2|0.132|33|15.304|2149.964098556101|99.69161061404861
Generation 1044|2|0.15|33|15.532|2149.9540739565236|106.3421023684661
Generation 1045|2|0.138|600|16.65|2148.9304694062257|95.58977738325339
Generation 1046|2|0.144|33|15.834|2149.9540739565236|108.10704414385435
Generation 1047|2|0.158|33|15.594|2149.9540739565236|112.61446042586228
Generation 1048|3|0.12|33|15.24|5015.079034242259|91.50406785091423
Generation 1049|2|0.114|33|15.4|2148.71142795583|86.20096524492801
Generation 1050|3|0.146|33|15.458|5023.038198361497|106.77374259821308
Generation 1051|2|0.146|33|15.814|2149.9540739565236|109.13114380761614
Generation 1052|3|0.134|33|15.456|5005.486447528147|107.61674688684064
Generation 1053|2|0.148|33|15.634|2149.986294709256|107.64954013680183
Generation 1054|3|0.148|33|15.53|5019.2877281163765|121.57383695492217
Generation 1055|3|0.136|33|15.824|5008.019294011269|97.3972409451679
Generation 1056|2|0.162|34|15.592|2149.739062976162|114.53892555755252
Generation 1057|4|0.134|33|15.282|9163.134630849212|108.02441321351027
Generation 1058|3|0.158|33|15.178|5023.896182881493|126.09702109465972
Generation 1059|2|0.112|33|14.972|2149.9540739565236|84.80420834984288
Generation 1060|4|0.14|33|15.118|9163.134630849212|110.69180787944471
Generation 1061|3|0.148|33|15.004|5016.170998995946|114.19890327965183
Generation 1062|2|0.132|39|14.982|2147.951238412937|94.53262534090827
Generation 1063|2|0.134|33|15.238|2149.913226044195|100.34548350737646
