|Max Apple|Mean Apple|Max Step|Mean Step|Max Fitness|Mean Fitness
Generation 217|17|3.368|600|142.964|317606.0075629497|13612.479195661905
Generation 218|15|3.062|650|134.828|175434.1642809555|11678.501343921389
Generation 219|13|3.676|600|144.046|114601.96745178086|15785.976018768997
Generation 220|14|3.094|600|126.07|140367.25572820523|12816.861231803283
Generation 221|15|3.512|600|131.272|176158.2958081046|14878.232702905401
Generation 222|15|3.51|600|142.518|174312.8249493845|14876.72440366072
Generation 223|14|3.676|700|146.788|140438.79918258317|16471.287004774997
Generation 224|14|3.686|600|138.302|140604.3993613764|15863.657203461873
Generation 225|14|4.198|600|144.346|140343.3326442222|20174.808073678858
Generation 226|14|3.728|600|150.45|140768.09200664764|16469.361329880496
Generation 227|16|3.696|600|135.766|230983.59481808543|17196.74059239749
Generation 228|16|3.758|650|126.992|229699.94083099786|17361.04858661516
Generation 229|15|3.758|750|136.136|175759.43445497687|17126.1029655148
Generation 230|17|4.142|700|158.006|317980.11219602794|19766.100711573057
Generation 231|14|4.364|700|138.386|140199.01299687073|21466.31506353946
Generation 232|15|4.124|700|151.634|173258.544665126|20229.774146444848
Generation 233|18|4.482|600|155.122|472581.69090937026|23585.13322259115
Generation 234|19|4.062|650|153.634|752966.2374823716|20674.238643316003
Generation 235|16|3.46|600|142.562|225794.82690493835|15207.850267189822
Generation 236|18|3.398|650|132.778|471892.98074320477|16254.983084492134
Generation 237|16|3.394|700|143.998|231090.53326846848|15064.484610873884
Generation 238|17|3.692|650|154.026|315678.51534256013|17119.108544607425
Generation 239|16|3.328|650|151.764|230157.1985620408|13687.997853105226
Generation 240|16|3.124|600|138.41|229496.4956841684|12967.09957743591
Generation 241|15|3.516|600|155.722|175732.53489367286|16476.358074356664
Generation 242|15|3.138|600|153.488|176599.44202710254|13837.487890228847
Generation 243|15|3.7|650|156.328|176701.48624453731|17182.332129510953
Generation 244|16|3.446|650|148.916|229612.99785814938|15804.659940652777
Generation 245|19|3.992|750|157.278|760142.4412486246|21408.5578574569
Generation 246|16|3.846|750|157.326|228388.89100594682|18413.092842372473
Generation 247|15|3.768|600|144.334|176131.97973084886|17990.925891832223
Generation 248|20|3.944|700|157.728|1308505.7371472167|22117.12682305091
Generation 249|17|3.822|700|156.054|315779.83651104016|19110.044292683273
Generation 250|17|3.844|800|150.248|314190.49371075927|19219.827774424422
Generation 251|19|3.564|900|137.16|757904.4017515706|18506.4765445304
Generation 252|19|4.078|900|150.402|758795.3448378985|22028.948273851358
Generation 253|18|4.236|650|153.372|467184.9211278607|23027.918865431497
Generation 254|18|4.292|800|148.048|469199.4077182435|24877.116598349498
Generation 255|19|4.632|600|147.284|753616.4513651335|29489.32922854479
